"GEN_AB" " | " "Non" "Oui" "p-value" "SEM" "Significance" "Non/Oui" "Non/Oui"
"-------" "---" "------" "------" "------" "------" "------" "------" "------"
"QSENSETE" " | " "6.1662" "6.145" "0.989008233841653" "1.98309698921638" "NS" "0.989" "ns"
"QTECHETE" " | " "5.1308" "3.14" "0.156361645292776" "1.74211393047228" "NS" "0.156" "ns"
"QSANTETE" " | " "6.18" "5.49" "0.176006711352914" "0.634786457128574" "NS" "0.176" "ns"
"QNUTRETE" " | " "3.36" "4.18" "0.325277356803488" "1.05600844984964" "NS" "0.325" "ns"
"QGLOETE" " | " "5.4015" "4.865" "0.53598608993668" "1.11114698988752" "NS" "0.536" "ns"
"QSENSHIV" " | " "5.33" "5.125" "0.920971717193547" "2.6681605591176" "NS" "0.921" "ns"
"QTECHHIV" " | " "6.2531" "6.265" "0.992456431235574" "1.62870233676235" "NS" "0.992" "ns"
"QSANTHIV" " | " "2.8023" "2.425" "0.632096144365518" "1.01316263290257" "NS" "0.632" "ns"
"QNUTRHIV" " | " "4.13" "4.155" "0.97447432813292" "1.00906087336387" "NS" "0.974" "ns"
"QGLOHIV" " | " "4.2838" "3.66" "0.482185062456867" "1.13520949243564" "NS" "0.482" "ns"
"QSENSO" " | " "5.32" "4.96" "0.815230422694884" "1.98746843226019" "NS" "0.815" "ns"
"QTECHNO" " | " "5.9285" "5.855" "0.916570786553536" "0.905505351076625" "NS" "0.917" "ns"
"QSANTE" " | " "4.19" "3.545" "0.128235393045155" "0.522703769614521" "NS" "0.128" "ns"
"QNUTRI" " | " "3.9931" "4.145" "0.847647023718077" "1.02053255038266" "NS" "0.848" "ns"
"QGLOAN" " | " "5.6115" "5.23" "0.583102738616919" "0.89242837380199" "NS" "0.583" "ns"
"ENVCC" " | " "7.3262" "5.99" "0.190462822446273" "1.27351444956641" "NS" "0.19" "ns"
"ENVEUTRO" " | " "8.4269" "9.135" "0.239984932230437" "0.757045213723263" "NS" "0.24" "ns"
"ENVACIDIF" " | " "3.5785" "5.425" "0.248703423149643" "2.01310741871613" "NS" "0.249" "ns"
"ENVRES" " | " "7.3492" "7.31" "0.965735614187172" "1.179429207048" "NS" "0.966" "ns"
"ENVBIO" " | " "4.9685" "4.13" "0.627136961371287" "2.21881411900018" "NS" "0.627" "ns"
"ENVGLO" " | " "6.4238" "6.87" "0.539928268159368" "0.933105142575365" "NS" "0.54" "ns"
