"","QSENSO","QTECHNO","QSANTE","QNUTRI","QGLOAN","ENVCC","ENVEUTRO","ENVACIDIF","ENVRES","ENVBIO","ENVGLO"
"HPE-D60",7.87,6.22,3.45,2.85,4.25,5.69,9.54,6.14,7.37,5.63,7.12
"MHG-W12",6.18,6.12,4.12,3.55,6.03,7.43,8.12,1.13,6.06,6.22,4.97
"HPE-U45",4,6.13,3.99,4.85,5.61,5.29,8.21,4.07,8.55,3.23,7.59
"MHG-J68",2.05,5.49,3.64,5.44,6.21,6.29,8.73,4.71,7.25,2.63,6.62
"HPE-U48",2.9,7.17,3.48,4.73,5.6,7.87,7.34,3.99,7.23,4.21,6.07
"HPE-N49",7.24,5.26,4.19,3.22,5.04,5.92,7.63,3.05,5.71,5,5
"MHG-J80",4.26,6.76,4.12,4.56,5.09,7.94,8.79,3.36,6.16,8.25,6.94
"MHG-C59",4.69,6.45,3.76,3.34,4.71,7.15,9.27,0.09,7.19,1.88,5.49
"HPE-T38",6.04,5.7,4.74,5.61,4.94,9.56,9.61,7.25,8.49,6.81,7.6
"HPE-F87",6.52,6.85,4.25,2.93,6.15,9.13,8.15,0.63,5.62,5.22,7.35
"MHG-Y67",2.32,5.48,5.47,3.8,6.53,6.53,9.41,4,7.87,8.83,6.83
"MHG-Z62",7.14,3.93,4.81,3.25,3.93,6.24,7.23,6.47,9.01,5.72,6.88
"MHG-F71",7.82,6.36,4.1,2.73,5.94,8.97,8.89,4.72,8.26,1.96,6.19
"HPE-R59",5.32,6.32,3.81,5.18,6.69,6.97,8.11,3.35,6.59,4.74,7.23
"HPE-S27",4.73,4.54,3.63,4.16,6.69,6.24,8.79,4.41,8.8,2.52,5.37
