"","component_1","component_2","component_3"
"EED",-0.309631482621921,0.786707948818375,0.313330432269419
"QSENSETE",0.175860907911447,0.351259507707772,-0.458039754509839
"QTECHETE",-0.308489137266331,0.154734076448876,-0.727137735641995
"QSANTETE",0.598042848842742,0.186501223775717,-0.0396119684412968
"QNUTRETE",0.357239997063111,-0.0162063573453828,0.578565688400929
"QGLOETE",-0.0615693916462631,0.025160637339014,-0.206252572782938
"QSENSHIV",-0.207284923563642,0.268744434742845,0.113406610847713
"QTECHHIV",0.627825309218271,-0.580349023465155,-0.0830193165358904
"QSANTHIV",0.497855872606785,0.497239350541594,-0.302378776975441
"QNUTRHIV",0.62460337247604,0.0401778085311428,0.185940508073147
"QGLOHIV",-0.311687522485324,0.0283684908451246,0.211207177204485
"QSENSO",-0.120824677821284,0.111419700608725,-0.871309542752545
"QTECHNO",-0.73145371922579,0.082813492583086,0.228787143365124
"QSANTE",0.204435950949534,0.452041327243626,-0.104390373311693
"QNUTRI",0.250293904928569,0.290449154999995,0.589773345105818
"QGLOAN",-0.425818419316123,-0.334364634709268,0.391530075600069
"ENVCC",-0.606729652423849,0.396246231222907,-0.221076328567877
"ENVEUTRO",-0.173215050405446,0.203178146043708,0.382904501399447
"ENVACIDIF",0.442289880357702,0.621265750729092,-0.0771742632296611
"ENVRES",0.54809717743726,0.199034197212168,0.036669279298629
"ENVBIO",-0.0251283166035945,0.622228730793898,0.0323264982601259
"ENVGLO",-0.0583486817752946,0.762111149099059,0.291776348353559
"HPE-D60",-0.568356150341734,1.14017600095781,-0.596697838021708
"MHG-W12",-0.150567071418101,-1.6437757812864,-1.3773942213944
"HPE-U45",2.11385687805135,0.295472679988957,2.10556657212451
"MHG-J68",1.13781506729302,-0.850152493085553,3.213412967023
"HPE-U48",-0.9658151852247,-0.000878412817582921,0.217044118389656
"HPE-N49",1.04548007316098,-1.60818422988476,-2.3355603422684
"MHG-J80",-1.19816352567884,2.29438077115485,1.91626826921854
"MHG-C59",0.560639906474158,-3.16813935228035,0.538008730963154
"HPE-T38",0.956371127586701,4.36384151877978,-0.556652669917301
"HPE-F87",-4.37070225991121,0.347313058259215,-0.6756451393478
"MHG-Y67",0.0694144883275941,0.721588127692042,2.23693670365178
"MHG-Z62",4.16838945087087,1.29114738388796,-2.88848339900725
"MHG-F71",-2.43099484700344,0.00465428856343154,-2.12279182984631
"HPE-R59",-0.888499193399305,-0.378687114779411,-0.0894623540355434
"HPE-S27",0.521131241212645,-2.80875644514997,0.415450432468079
